,@anio_compra,@apel,@arch_adj,@es_reiteracion,@estado_compra,@fecha_compra,@fecha_pub_adj,@fondos_rotatorios,@id_compra,@id_inciso,@id_moneda_monto_adj,@id_tipo_resol,@id_tipocompra,@id_ue,@monto_adj,@nro_ampliacion,@num_compra,@num_resol,@objeto,@subtipo_compra,adjudicaciones,@arch_reiteracion,aclaraciones_adj,@id_ucc
0,2019,N,,N,7,21/05/2019,22/05/2019 06:10,N,726826,29,0,1,CD,102,2806.0,0,496,1,"Impresión de 2000 formularios ""Evolución"" (muestra en adjunto)",COM,"OrderedDict([('adjudicacion', OrderedDict([('@nro_item', '1'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '110332840011'), ('@nombre_comercial', 'FLEURQUIN MOLINA TRIANA GABRIELA'), ('@cant_adj', '2000.00'), ('@precio_unit', '1.1500'), ('@precio_tot_imp', '2806'), ('@id_moneda', '0'), ('@id_articulo', '30409'), ('@desc_articulo', 'IMPRESION DE FORMULARIO'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', ''), ('@desc_detalle_variante', ''), ('@id_unidad', '22'), ('@unidad', 'UNIDAD'), ('@id_variante', '14930|1|1'), ('@variante', 'FORMATO'), ('@unidad_medida_variante', 'MM'), ('@medida_variante', 'A4'), ('@presentacion', '-----'), ('@medida_presentacion', '-----'), ('@unidad_medida_presentacion', '-----'), ('@id_marca', ''), ('@desc_marca', '')]))])",,,
1,2019,S,acta_717934.pdf,N,7,17/05/2019,22/05/2019 07:25,N,717934,3,0,2,CD,33,52222.0,0,252,373,SUMINISTROS PARA SALUD AMBIENTAL,COM,"OrderedDict([('adjudicacion', [OrderedDict([('@nro_item', '3'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '211832770017'), ('@nombre_comercial', 'MAISOR S.A.'), ('@cant_adj', '8.00'), ('@precio_unit', '655.7400'), ('@precio_tot_imp', '6400.0200000000004'), ('@id_moneda', '0'), ('@id_articulo', '4282'), ('@desc_articulo', 'CIPERMETRINA'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', ''), ('@desc_detalle_variante', ''), ('@id_unidad', '22'), ('@unidad', 'UNIDAD'), ('@id_variante', '14972|6|85'), ('@variante', 'CONCENTRACION'), ('@unidad_medida_variante', 'G/L'), ('@medida_variante', '250'), ('@presentacion', 'ENVASE'), ('@medida_presentacion', '1'), ('@unidad_medida_presentacion', 'L'), ('@id_marca', ''), ('@desc_marca', ''), ('@variacion', 'FORMA PAGO : 30 DÍAS.')]), OrderedDict([('@nro_item', '6'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '211832770017'), ('@nombre_comercial', 'MAISOR S.A.'), ('@cant_adj', '68.00'), ('@precio_unit', '502.0000'), ('@precio_tot_imp', '41645.919999999998'), ('@id_moneda', '0'), ('@id_articulo', '31916'), ('@desc_articulo', 'FIPRONIL (INSECTICIDA)'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', ''), ('@desc_detalle_variante', ''), ('@id_unidad', '596'), ('@unidad', 'JERINGA'), ('@id_variante', '1|1|1'), ('@variante', '-----'), ('@unidad_medida_variante', '-----'), ('@medida_variante', '-----'), ('@presentacion', '-----'), ('@medida_presentacion', '-----'), ('@unidad_medida_presentacion', '-----'), ('@id_marca', ''), ('@desc_marca', ''), ('@variacion', 'FORMA DE PAGO : 30 DÍAS')]), OrderedDict([('@nro_item', '5'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '211832770017'), ('@nombre_comercial', 'MAISOR S.A.'), ('@cant_adj', '3.00'), ('@precio_unit', '1141.0000'), ('@precio_tot_imp', '4176.0600000000004'), ('@id_moneda', '0'), ('@id_articulo', '8121'), ('@desc_articulo', 'DIFETHIALONE'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', ''), ('@desc_detalle_variante', ''), ('@id_unidad', '11'), ('@unidad', 'KG'), ('@id_variante', '2429|8|85'), ('@variante', 'CONCENTRACION'), ('@unidad_medida_variante', '%'), ('@medida_variante', '25'), ('@presentacion', 'ENVASE'), ('@medida_presentacion', '1'), ('@unidad_medida_presentacion', 'KG'), ('@id_marca', ''), ('@desc_marca', ''), ('@variacion', 'FORMA PAGO :30 DÍAS')])])])",,,
2,2019,S,acta_722201.pdf,N,7,09/05/2019,22/05/2019 07:40,N,722201,3,0,4,CD,33,0.0,0,306,435,"Bromuro de Umeclidinio + Vilanterol, Rasagilina 1 mg y Fluticasona + Vilanterol",COM,,,,
3,2019,N,,N,7,22/05/2019,22/05/2019 07:40,N,726229,29,0,1,CD,102,38582.5,0,489,1,250 mts lienzo con logo para sabanas. Enviar muestras a Ceberio 519.Pago SIIF/FR.,COM,"OrderedDict([('adjudicacion', OrderedDict([('@nro_item', '1'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '210116200014'), ('@nombre_comercial', 'MARCOS NAHOUM S A'), ('@cant_adj', '250.00'), ('@precio_unit', '126.5000'), ('@precio_tot_imp', '38582.5'), ('@id_moneda', '0'), ('@id_articulo', '1295'), ('@desc_articulo', 'TELA LIENZO'), ('@id_color', '152'), ('@desc_color', 'CRUDO'), ('@id_detalle_variante', ''), ('@desc_detalle_variante', ''), ('@id_unidad', '14'), ('@unidad', 'M'), ('@id_variante', '1|1|1'), ('@variante', '-----'), ('@unidad_medida_variante', '-----'), ('@medida_variante', '-----'), ('@presentacion', '-----'), ('@medida_presentacion', '-----'), ('@unidad_medida_presentacion', '-----'), ('@id_marca', ''), ('@desc_marca', ''), ('@variacion', 'ARTÍCULO 14047 CON LOGO')]))])",,,
4,2019,S,,N,7,22/05/2019,22/05/2019 07:45,N,726853,29,0,2,CD,27,4320.02,0,423,0,"Piedras redondas de diamante Nros. 6 y 8, 4 cajas de cepillos de endocervix.",COM,"OrderedDict([('adjudicacion', [OrderedDict([('@nro_item', '1'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '210260940011'), ('@nombre_comercial', 'ERGON DENTAL S A'), ('@cant_adj', '20.00'), ('@precio_unit', '88.5250'), ('@precio_tot_imp', '2160.0100000000002'), ('@id_moneda', '0'), ('@id_articulo', '2569'), ('@desc_articulo', 'PIEDRA DE DIAMANTE REDONDA PARA TURBINA'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', ''), ('@desc_detalle_variante', ''), ('@id_unidad', '22'), ('@unidad', 'UNIDAD'), ('@id_variante', '569|1|1'), ('@variante', 'NUMERO'), ('@unidad_medida_variante', '-----'), ('@medida_variante', '6'), ('@presentacion', '-----'), ('@medida_presentacion', '-----'), ('@unidad_medida_presentacion', '-----'), ('@id_marca', ''), ('@desc_marca', '')]), OrderedDict([('@nro_item', '2'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '210260940011'), ('@nombre_comercial', 'ERGON DENTAL S A'), ('@cant_adj', '20.00'), ('@precio_unit', '88.5250'), ('@precio_tot_imp', '2160.0100000000002'), ('@id_moneda', '0'), ('@id_articulo', '2569'), ('@desc_articulo', 'PIEDRA DE DIAMANTE REDONDA PARA TURBINA'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', ''), ('@desc_detalle_variante', ''), ('@id_unidad', '22'), ('@unidad', 'UNIDAD'), ('@id_variante', '280|1|1'), ('@variante', 'NUMERO'), ('@unidad_medida_variante', '-----'), ('@medida_variante', '3'), ('@presentacion', '-----'), ('@medida_presentacion', '-----'), ('@unidad_medida_presentacion', '-----'), ('@id_marca', ''), ('@desc_marca', '')])])])",,,
5,2019,S,acta_721482.pdf,N,7,15/05/2019,22/05/2019 07:45,N,721482,3,0,4,CD,33,0.0,0,287,449,Colágeno tipo II y Toxina Botulímica,COM,,,,
6,2019,S,acta_722200.pdf,N,7,20/05/2019,22/05/2019 07:55,N,722200,3,0,2,CD,33,26577.94,0,305,512,Agomelatina 25 mg y Sacubitril / Valsartán 97.2/102.8 mg,COM,"OrderedDict([('adjudicacion', OrderedDict([('@nro_item', '2'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '214843360014'), ('@nombre_comercial', 'MURRY S A'), ('@cant_adj', '360.00'), ('@precio_unit', '65.8000'), ('@precio_tot_imp', '26577.939999999999'), ('@id_moneda', '0'), ('@id_articulo', '73959'), ('@desc_articulo', 'SACUBITRILO - VALSARTAN (COMPRIMIDOS)'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', '255238'), ('@desc_detalle_variante', 'ENTRESTO 200MG'), ('@id_unidad', '22'), ('@unidad', 'UNIDAD'), ('@id_variante', '95595|318|5929'), ('@variante', 'CONCENTRACION'), ('@unidad_medida_variante', 'MG'), ('@medida_variante', '97.2 - 102.8 (SAC - VAL)'), ('@presentacion', 'ENVASE'), ('@medida_presentacion', '60'), ('@unidad_medida_presentacion', 'COMPRIMIDO (CM)'), ('@id_marca', '1386'), ('@desc_marca', 'SCIENZA URUGUAY')]))])",,,
7,2019,,acta_718949.pdf,N,7,24/04/2019,22/05/2019 07:55,N,718949,3,0,1,CE,33,9025.51,0,255,374,Tamoxifeno 20mg,33-3,"OrderedDict([('adjudicacion', OrderedDict([('@nro_item', '1'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '211208570010'), ('@nombre_comercial', 'ASTRAZENECA S A'), ('@cant_adj', '180.00'), ('@precio_unit', '44.6896'), ('@precio_tot_imp', '9025.5100000000002'), ('@id_moneda', '0'), ('@id_articulo', '17055'), ('@desc_articulo', 'TAMOXIFENO (COMPRIMIDOS)'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', '105639'), ('@desc_detalle_variante', 'NOLVADEX-D'), ('@id_unidad', '186'), ('@unidad', 'COMPRIMIDO'), ('@id_variante', '1929|236|2929'), ('@variante', 'CONCENTRACION'), ('@unidad_medida_variante', 'MG'), ('@medida_variante', '20'), ('@presentacion', 'BLISTER'), ('@medida_presentacion', '30'), ('@unidad_medida_presentacion', 'COMPRIMIDO (CM)'), ('@id_marca', '756'), ('@desc_marca', 'ASTRAZENECA S.A.')]))])",,,
8,2019,,acta_717357.pdf,N,7,15/04/2019,22/05/2019 07:55,N,717357,3,0,2,CE,33,9304.16,0,256,368,Venlafaxina 150mg,33-3,"OrderedDict([('adjudicacion', OrderedDict([('@nro_item', '1'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '211014180012'), ('@nombre_comercial', 'LABORATORIO GADOR S A'), ('@cant_adj', '336.00'), ('@precio_unit', '24.6800'), ('@precio_tot_imp', '9304.1599999999999'), ('@id_moneda', '0'), ('@id_articulo', '17100'), ('@desc_articulo', 'VENLAFAXINA (COMPRIMIDOS)'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', '253703'), ('@desc_detalle_variante', 'ELAFAX LP 150'), ('@id_unidad', '186'), ('@unidad', 'COMPRIMIDO'), ('@id_variante', '14929|356|2729'), ('@variante', 'CONCENTRACION'), ('@unidad_medida_variante', 'MG'), ('@medida_variante', '150'), ('@presentacion', 'BLISTER'), ('@medida_presentacion', '28'), ('@unidad_medida_presentacion', 'COMPRIMIDO (LIB.MODIF.)'), ('@id_marca', '125'), ('@desc_marca', 'GADOR S.A.')]))])",,,
9,2019,,acta_705489.pdf,N,7,28/02/2019,22/05/2019 08:00,N,705489,3,0,1,CE,33,9010.65,0,154,192,Vitaminas Oftálmicas,33-3,"OrderedDict([('adjudicacion', OrderedDict([('@nro_item', '1'), ('@tipo_doc_prov', 'R'), ('@nro_doc_prov', '210231300018'), ('@nombre_comercial', 'ROEMMERS S A'), ('@cant_adj', '540.00'), ('@precio_unit', '14.8720'), ('@precio_tot_imp', '9010.6499999999996'), ('@id_moneda', '0'), ('@id_articulo', '36989'), ('@desc_articulo', 'POLIVITAMINAS (ASOCIACION) (COMPRIMIDOS)'), ('@id_color', ''), ('@desc_color', ''), ('@id_detalle_variante', '249331'), ('@desc_detalle_variante', 'DIARIS'), ('@id_unidad', '186'), ('@unidad', 'COMPRIMIDO'), ('@id_variante', '1|236|2929'), ('@variante', 'CONCENTRACION'), ('@unidad_medida_variante', '-----'), ('@medida_variante', '-----'), ('@presentacion', 'BLISTER'), ('@medida_presentacion', '30'), ('@unidad_medida_presentacion', 'COMPRIMIDO (CM)'), ('@id_marca', '745'), ('@desc_marca', 'ROEMMERS S.A.')]))])",,,
